
2025/03/01 (17:56:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:23:39) | ===> btop++ v.1.4.0
2025/03/02 (14:23:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:23:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:23:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (14:23:46) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (14:23:48) | ===> btop++ v.1.4.0
2025/03/02 (14:23:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:23:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:23:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:24:37) | ===> btop++ v.1.4.0
2025/03/02 (14:24:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:24:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:24:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:33:40) | ===> btop++ v.1.4.0
2025/03/02 (14:33:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:33:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:33:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:37:40) | ===> btop++ v.1.4.0
2025/03/02 (14:37:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:37:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:37:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:37:45) | ===> btop++ v.1.4.0
2025/03/02 (14:37:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:37:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:37:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:39:22) | ===> btop++ v.1.4.0
2025/03/02 (14:39:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:39:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:39:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:40:26) | ===> btop++ v.1.4.0
2025/03/02 (14:40:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:40:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:40:36) | ===> btop++ v.1.4.0
2025/03/02 (14:40:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:40:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (14:40:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (17:43:17) | ===> btop++ v.1.4.0
2025/03/02 (17:43:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (17:43:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (17:43:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:50:14) | ===> btop++ v.1.4.0
2025/03/02 (18:50:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (18:50:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/02 (18:50:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (14:40:13) | ===> btop++ v.1.4.0
2025/03/09 (14:40:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/09 (14:40:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/09 (14:40:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (20:38:35) | ===> btop++ v.1.4.0
2025/03/10 (20:38:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (20:38:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (20:38:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (20:40:55) | ===> btop++ v.1.4.0
2025/03/10 (20:40:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (20:40:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (20:40:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (19:56:12) | ===> btop++ v.1.4.0
2025/04/11 (19:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/11 (19:56:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/11 (19:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (14:33:30) | ===> btop++ v.1.4.0
2025/04/13 (14:33:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (14:33:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/13 (14:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (19:42:06) | ===> btop++ v.1.4.0
2025/04/15 (19:42:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/15 (19:42:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/15 (19:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (19:43:17) | ===> btop++ v.1.4.0
2025/04/15 (19:43:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/15 (19:43:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/15 (19:43:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (14:19:57) | ===> btop++ v.1.4.0
2025/04/21 (14:19:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/21 (14:19:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/21 (14:19:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (23:34:32) | ===> btop++ v.1.4.0
2025/04/26 (23:34:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (23:34:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/26 (23:34:32) | WARNING: Intel GPU: Failed to initialize PMU
